node_uuid,creator,titleproper,extent,label,type,date,format,rights_statements,identifier
bfc19883-46a4-4b48-aade-50eb36554e89,"Steinmetz, Charles Proteus","From Competition to Cooperation by Steinmetz, dated July 19, 1921",14 pages,"From Competition to Cooperation by Steinmetz, dated July 19, 1921",Archive Component,1921-07-19,application/pdf,No Copyright - United States,ZWU_SCA0142_FROMCOMPETITIONTOCOOPERATION_19210719
b8b15f2c-65b8-4cf7-9da4-c7fff491dacd,"Steinmetz, Charles Proteus","From Competition to Cooperation by Steinmetz, with cover, dated July 22, 1921",16 pages,"From Competition to Cooperation by Steinmetz, with cover, dated July 22, 1921",Archive Component,1921-07-22,application/pdf,No Copyright - United States,ZWU_SCA0142_FROMCOMPETITIONTOCOOPERATION_19210722
4600bc26-0707-49d6-85d5-9eebeeaf426d,"Steinmetz, Charles Proteus",Charles Steinmetz's Views on the German Point of View of WWI,3 pages,Charles Steinmetz's Views on the German Point of View of WWI,Archive Component,1915-01-04,application/pdf,No Copyright - United States,ZWU_SCA0142_GERMANPOINTOFVIEWONTHEWAR_19150104
fcd9ffef-5ee6-472f-acfc-3b12b0239420,"Steinmetz, Charles Proteus","Industrial Cooperation, Speech Given in Philadelphia, PA",9 pages,"Industrial Cooperation, Speech Given in Philadelphia, PA",Archive Component,1915-01-01,application/pdf,No Copyright - United States,ZWU_SCA0142_INDUSTRIALCOOPERATION_00000000
7dbcbb30-8142-4078-9a66-1de273e8fc44,"Steinmetz, Charles Proteus",Industrial Cooperation Possible Editorial with Extracts from Two Addresses by Steinmetz,8 pages,Industrial Cooperation Possible Editorial with Extracts from Two Addresses by Steinmetz,Archive Component,1915-01-01,application/pdf,No Copyright - United States,ZWU_SCA0142_INDUSTRIALCOOPERATION_00000000_01
cdf0c249-9b69-4e08-9cb4-8038c0f93aab,"Steinmetz, Charles Proteus","Industrial Cooperation Possible Editorial, 1914",4 pages,"Industrial Cooperation Possible Editorial, 1914",Archive Component,1914-06-01,application/pdf,No Copyright - United States,ZWU_SCA0142_INDUSTRIALCOOPERATION_19140600_03
ba883ee6-a57d-4b4d-844e-d55db12569a5,"Steinmetz, Charles Proteus","Industrial Cooperation Possible Editorial, 1923",20 pages,"Industrial Cooperation Possible Editorial, 1923",Archive Component,1923-03-01,application/pdf,No Copyright - United States,ZWU_SCA0142_INDUSTRIALCOOPERATION_19230300
7bc159c9-eeb2-4a29-b823-930b4b05faa4,"Steinmetz, Charles Proteus","International Law and the War Possible Editorial, 1915",3 pages,"International Law and the War Possible Editorial, 1915",Archive Component,1915-03-23,application/pdf,No Copyright - United States,ZWU_SCA0142_INTERNATIONALLAWANDWAR_19150323_01
fcbe5a57-8798-42da-a1a3-758c632ef01e,"Steinmetz, Charles Proteus","Brief Note Regarding Lightning, probably suggested editorial for the National Editorial service, 1915",1 page,"Brief Note Regarding Lightning, probably suggested editorial for the National Editorial service, 1915",Archive Component,1915-01-01,application/pdf,No Copyright - United States,ZWU_SCA0142_LIGHTNING_00000000
36f197a3-191a-43af-a4ef-310712aba086,"Steinmetz, Charles Proteus","Memorandum on Invention and Development, 1919",4 pages,"Memorandum on Invention and Development, 1919",Archive Component,1919-01-07,application/pdf,No Copyright - United States,ZWU_SCA0142_MEMORENDUMONINVENTIONANDDEVELOPMENT_19190107
adfb5989-c9a7-48b1-9e68-606071827894,"Steinmetz, Charles Proteus","Mobilizing Niagara, 1918",3 pages,"Mobilizing Niagara, 1918",Archive Component,1918-02-07,application/pdf,No Copyright - United States,ZWU_SCA0142_MOBILIZINGNIAGARA_19180207
26912f59-bf65-46b2-971b-c03a7a2b7e71,"Steinmetz, Charles Proteus","Our Civilization, 1923",2 pages,"Our Civilization, 1923",Archive Component,1923-02-05,application/pdf,No Copyright - United States,ZWU_SCA0142_OURCIVILIZATION_19230205_01
62df3cf0-b936-4c13-be71-b6362da7701a,"Steinmetz, Charles Proteus","Our Industrial Age, Possible Editorial, Copy 1",6 pages,"Our Industrial Age, Possible Editorial, Copy 1",Archive Component,1923-02-07,application/pdf,No Copyright - United States,ZWU_SCA0142_OURINDUSTRIALAGE_19230207_copy1
ff0559f6-2c8a-4f71-8af0-01c928d5b397,"Steinmetz, Charles Proteus","Our Industrial Age, Possible Editorial, Copy 2",6 pages,"Our Industrial Age, Possible Editorial, Copy 2",Archive Component,1923-02-07,application/pdf,No Copyright - United States,ZWU_SCA0142_OURINDUSTRIALAGE_19230207_copy2
36d76c7a-9d98-4e1d-a447-479830742dac,"Steinmetz, Charles Proteus","Our Industrial System, Possible Editorial",3 pages,"Our Industrial System, Possible Editorial",Archive Component,1914-10-13,application/pdf,No Copyright - United States,ZWU_SCA0142_OURINDUSTRYSYSTEM_19141013
ce9d16e4-1473-41f0-9772-c884b0dbe316,"Steinmetz, Charles Proteus","Our National Defense, Possible Editorial, Copy 2",9 pages,"Our National Defense, Possible Editorial, Copy 2",Archive Component,1915-10-01,application/pdf,No Copyright - United States,ZWU_SCA0142_OURNATIONALDEFENSE_19151000
66a70b13-4e61-45fe-9aaa-5d5ab34dd96f,"Steinmetz, Charles Proteus","Our National Defense, Possible Editorial, Copy 1",9 pages,"Our National Defense, Possible Editorial, Copy 1",Archive Component,1915-10-12,application/pdf,No Copyright - United States,ZWU_SCA0142_OURNATIONALDEFENSE_19151012
fd986f5d-0256-4065-8188-d03ba4ca9b36,Unknown,Portrait of Charles Steinmetz with his Signature,1 page,Portrait of Charles Steinmetz with his Signature,Archive Component,1920-01-01,application/pdf,No Copyright - United States,ZWU_SCA0142_Portrait_01
bfa5871f-b55f-43ff-bbd0-8dfca00d799a,"Steinmetz, Charles Proteus","Preparedness, Militarism and War, Possible Editorial, Copy 1",19 pages,"Preparedness, Militarism and War, Possible Editorial, Copy 1",Archive Component,1916-08-01,application/pdf,No Copyright - United States,ZWU_SCA0142_PREPAREDNESSMILITARISMANDWAR_19160800_01
4ad6b37c-b71a-44ad-808d-e1b61fb4c55a,"Steinmetz, Charles Proteus","Preparedness, Militarism and War, Possible Editorial, Copy 2",19 pages,"Preparedness, Militarism and War, Possible Editorial, Copy 2",Archive Component,1916-08-01,application/pdf,No Copyright - United States,ZWU_SCA0142_PREPAREDNESSMILITARISMANDWAR_19160800_02
e32b5323-e08f-43c2-8027-2da75fe36488,"Steinmetz, Charles Proteus","Presentation of the Civic Forum Medal to Edison, May 5, 1915",2 pages,"Presentation of the Civic Forum Medal to Edison, May 5, 1915",Archive Component,1915-05-05,application/pdf,No Copyright - United States,ZWU_SCA0142_PRESENTATIONOFTHECIVICFORUMMEDALTOEDISON_19150505_01
43b80180-cc9e-4fe9-8d03-fed1f1bb4df2,"Steinmetz, Charles Proteus","Presentation of the Civic Forum Medal to Edison, May 6, 1915",2 pages,"Presentation of the Civic Forum Medal to Edison, May 6, 1915",Archive Component,1915-05-06,application/pdf,No Copyright - United States,ZWU_SCA0142_PRESENTATIONOFTHECIVICFORUMMEDALTOEDISON_19150506_02
8edf860a-a73b-4efb-94cd-cdd985ab61f1,"Ridder, Victor","Correspondence from Victor Ridder to Charles Steinmetz, 1916",1 page,"Correspondence from Victor Ridder to Charles Steinmetz, 1916",Archive Component,1916-10-20,application/pdf,No Copyright - United States,ZWU_SCA0142_RIDDERVR_119162010
